feature,# over PCC of 0.3,# over PCC of 0.7,# over PCC of 0.8,avg. correlation,max. correlation,median correlation,avg. lag,median lag,std correlation,p-value,CI 95% lower,CI 95% upper
shyness,1,0,0,0.331,0.331,0.331,41.0,41.0,,0.0,,
psychosis,1,0,0,0.331,0.331,0.331,49.0,49.0,,0.0,,
suicidal ideation,1,0,0,0.33,0.33,0.33,0.0,0.0,,0.006,,
"upper respiratory tract
infection",3,0,0,0.343,0.369,0.332,47.3,47.0,0.022,0.0,0.288,0.398
motion sickness,1,0,0,0.328,0.328,0.328,46.0,46.0,,0.0,,
strabismus,1,0,0,0.326,0.326,0.326,41.0,41.0,,0.0,,
gastroparesis,1,0,0,0.323,0.323,0.323,41.0,41.0,,0.0,,
hyperthermia,3,0,0,0.337,0.376,0.322,30.3,40.0,0.034,0.0,0.254,0.421
cheilitis,1,0,0,0.322,0.322,0.322,41.0,41.0,,0.0,,
dysphoria,1,0,0,0.319,0.319,0.319,41.0,41.0,,0.0,,
facial swelling,1,0,0,0.319,0.319,0.319,0.0,0.0,,0.043,,
leukorrhea,1,0,0,0.317,0.317,0.317,41.0,41.0,,0.0,,
hyperkalemia,1,0,0,-0.314,-0.314,-0.314,49.0,49.0,,0.0,,
peripheral neuropathy,1,0,0,0.31,0.31,0.31,41.0,41.0,,0.0,,
dentin hypersensitivity,1,0,0,0.305,0.305,0.305,46.0,46.0,,0.0,,
hot flash,1,0,0,0.304,0.304,0.304,41.0,41.0,,0.0,,
hypertrophy,1,0,0,0.301,0.301,0.301,41.0,41.0,,0.0,,
pneumonia,2,0,0,0.404,0.447,0.404,49.0,49.0,0.062,0.0,-0.153,0.96
asthma,1,0,0,0.369,0.369,0.369,46.0,46.0,,0.0,,
chills,2,0,0,0.321,0.322,0.321,46.0,46.0,0.0,0.0,0.319,0.324
scar,1,0,0,0.301,0.301,0.301,34.0,34.0,,0.0,,
common cold,1,0,0,0.559,0.559,0.559,47.0,47.0,,0.0,,
restless legs syndrome,1,0,0,0.396,0.396,0.396,0.0,0.0,,0.0,,
swollen feet,1,0,0,0.337,0.337,0.337,21.0,21.0,,0.001,,
fatty liver disease,1,0,0,-0.306,-0.306,-0.306,49.0,49.0,,0.0,,
