feature,# over PCC of 0.3,# over PCC of 0.7,# over PCC of 0.8,avg. correlation,max. correlation,median correlation,avg. lag,median lag,std correlation,p-value,CI 95% lower,CI 95% upper
nausea,1,0,0,0.511,0.511,0.511,49.0,49.0,,0.0,,
pericarditis,4,0,0,0.391,0.458,0.377,48.5,49.0,0.048,0.0,0.315,0.467
sharp pain,2,0,0,0.373,0.437,0.373,7.5,7.5,0.09,0.0,-0.433,1.179
sinusitis,2,0,0,0.386,0.424,0.386,28.5,28.5,0.053,0.0,-0.094,0.866
clouding of consciousness,4,0,0,0.348,0.422,0.331,40.2,47.5,0.05,0.0,0.268,0.428
pyelonephritis,3,0,0,0.353,0.42,0.32,35.7,48.0,0.058,0.0,0.209,0.497
morning sickness,1,0,0,0.382,0.382,0.382,11.0,11.0,,0.0,,
lightheadedness,1,0,0,0.373,0.373,0.373,0.0,0.0,,0.0,,
toothache,1,0,0,0.373,0.373,0.373,1.0,1.0,,0.0,,
cramp,1,0,0,0.368,0.368,0.368,0.0,0.0,,0.0,,
headache,1,0,0,0.347,0.347,0.347,0.0,0.0,,0.0,,
dystonia,1,0,0,0.344,0.344,0.344,42.0,42.0,,0.0,,
indigestion,1,0,0,0.333,0.333,0.333,4.0,4.0,,0.0,,
otitis externa,1,0,0,0.332,0.332,0.332,0.0,0.0,,0.0,,
middle back pain,2,0,0,0.317,0.324,0.317,25.0,25.0,0.01,0.0,0.231,0.403
diarrhea,3,0,0,0.164,0.494,0.335,45.0,48.0,0.442,0.0,-0.933,1.261
laryngitis,2,0,0,0.374,0.417,0.374,41.0,41.0,0.061,0.0,-0.178,0.925
aphonia,2,0,0,-0.357,-0.303,-0.357,49.0,49.0,0.077,0.0,-1.051,0.336
throat irritation,1,0,0,0.401,0.401,0.401,47.0,47.0,,0.0,,
croup,1,0,0,0.397,0.397,0.397,47.0,47.0,,0.0,,
impetigo,5,0,0,0.186,0.388,0.302,45.4,45.0,0.31,0.0,-0.198,0.571
meningitis,2,0,0,0.36,0.387,0.36,0.5,0.5,0.039,0.0,0.009,0.711
ear pain,1,0,0,0.387,0.387,0.387,3.0,3.0,,0.0,,
oral candidiasis,1,0,0,0.382,0.382,0.382,47.0,47.0,,0.0,,
inflammation,1,0,0,0.368,0.368,0.368,1.0,1.0,,0.0,,
infection,1,0,0,-0.351,-0.351,-0.351,49.0,49.0,,0.0,,
autoimmune disease,2,0,0,0.324,0.346,0.324,23.5,23.5,0.031,0.0,0.042,0.605
bunion,1,0,0,0.34,0.34,0.34,47.0,47.0,,0.0,,
"excessive daytime
sleepiness",2,0,0,0.326,0.339,0.326,24.0,24.0,0.017,0.0,0.172,0.481
rheum,3,0,0,0.101,0.338,0.304,30.3,42.0,0.38,0.003,-0.844,1.046
sputum,1,0,0,0.337,0.337,0.337,19.0,19.0,,0.0,,
"upper respiratory tract
infection",1,0,0,0.336,0.336,0.336,11.0,11.0,,0.0,,
motion sickness,2,0,0,0.02,0.342,0.02,49.0,49.0,0.456,0.0,-4.074,4.113
hypoxia,2,0,0,0.337,0.352,0.337,26.5,26.5,0.021,0.0,0.147,0.526
nasal congestion,7,0,0,0.406,0.487,0.404,17.4,3.0,0.07,0.001,0.341,0.47
epiphora,1,0,0,0.62,0.62,0.62,28.0,28.0,,0.0,,
"attention deficit
hyperactivity disorder",2,0,0,0.429,0.452,0.429,6.5,6.5,0.033,0.0,0.13,0.728
dyspareunia,1,0,0,0.432,0.432,0.432,3.0,3.0,,0.0,,
acne,3,0,0,0.195,0.537,0.424,20.7,10.0,0.498,0.0,-1.043,1.433
rumination,1,0,0,0.385,0.385,0.385,27.0,27.0,,0.0,,
urethritis,1,0,0,0.347,0.347,0.347,8.0,8.0,,0.0,,
auditory hallucination,1,0,0,0.347,0.347,0.347,3.0,3.0,,0.0,,
hypochondriasis,1,0,0,0.346,0.346,0.346,8.0,8.0,,0.0,,
hyperemesis gravidarum,1,0,0,0.335,0.335,0.335,3.0,3.0,,0.0,,
apnea,1,0,0,0.333,0.333,0.333,10.0,10.0,,0.0,,
leukorrhea,1,0,0,0.324,0.324,0.324,3.0,3.0,,0.0,,
amenorrhea,1,0,0,0.319,0.319,0.319,3.0,3.0,,0.0,,
burn,1,0,0,0.302,0.302,0.302,8.0,8.0,,0.0,,
underweight,4,0,0,0.39,0.463,0.385,0.0,0.0,0.057,0.0,0.299,0.481
food craving,3,0,0,0.328,0.375,0.307,14.3,1.0,0.04,0.0,0.228,0.428
poor posture,3,0,0,0.325,0.355,0.32,0.3,0.0,0.028,0.0,0.256,0.394
dysautonomia,1,0,0,0.347,0.347,0.347,8.0,8.0,,0.0,,
rosacea,1,0,0,0.35,0.35,0.35,48.0,48.0,,0.0,,
bloating,5,0,0,0.361,0.396,0.37,1.8,2.0,0.028,0.0,0.326,0.396
post nasal drip,2,0,0,0.336,0.348,0.336,0.0,0.0,0.016,0.002,0.19,0.483
dermatitis,2,0,0,0.37,0.435,0.37,21.0,21.0,0.092,0.0,-0.455,1.195
desquamation,1,0,0,0.301,0.301,0.301,0.0,0.0,,0.0,,
xeroderma,1,0,0,0.3,0.3,0.3,26.0,26.0,,0.0,,
allergy,1,0,0,0.407,0.407,0.407,47.0,47.0,,0.0,,
tinnitus,1,0,0,0.349,0.349,0.349,49.0,49.0,,0.0,,
dentin hypersensitivity,1,0,0,0.311,0.311,0.311,23.0,23.0,,0.0,,
neck pain,1,0,0,0.307,0.307,0.307,22.0,22.0,,0.0,,
anal fissure,2,0,0,0.361,0.416,0.361,30.0,30.0,0.078,0.0,-0.339,1.061
hay fever,3,0,0,0.09,0.347,0.315,26.7,23.0,0.417,0.0,-0.945,1.126
shallow breathing,1,0,0,-0.358,-0.358,-0.358,49.0,49.0,,0.0,,
xerostomia,1,0,0,-0.3,-0.3,-0.3,49.0,49.0,,0.0,,
hypogonadism,1,1,0,0.708,0.708,0.708,48.0,48.0,,0.0,,
wart,3,0,0,0.402,0.462,0.382,1.7,1.0,0.054,0.0,0.268,0.535
hepatitis,2,0,0,0.328,0.351,0.328,18.0,18.0,0.033,0.0,0.035,0.62
tachycardia,2,0,0,0.357,0.373,0.357,13.0,13.0,0.021,0.0,0.166,0.549
milium,1,0,0,0.334,0.334,0.334,3.0,3.0,,0.0,,
polyuria,1,0,0,0.328,0.328,0.328,25.0,25.0,,0.0,,
nasal polyp,1,0,0,0.328,0.328,0.328,4.0,4.0,,0.0,,
blushing,2,0,0,0.365,0.412,0.365,5.0,5.0,0.067,0.0,-0.234,0.964
eczema,1,0,0,0.313,0.313,0.313,27.0,27.0,,0.0,,
polydipsia,1,0,0,0.303,0.303,0.303,46.0,46.0,,0.0,,
urinary urgency,1,0,0,0.353,0.353,0.353,48.0,48.0,,0.0,,
red eye,1,0,0,0.352,0.352,0.352,46.0,46.0,,0.0,,
bruxism,3,0,0,0.349,0.381,0.335,12.0,4.0,0.028,0.0,0.28,0.418
pancreatitis,1,0,0,0.306,0.306,0.306,11.0,11.0,,0.0,,
bacterial vaginosis,1,0,0,0.305,0.305,0.305,3.0,3.0,,0.0,,
braxton hicks contractions,1,0,0,0.304,0.304,0.304,3.0,3.0,,0.0,,
sensitivity to sound,1,0,0,0.322,0.322,0.322,48.0,48.0,,0.0,,
encephalopathy,1,0,0,0.471,0.471,0.471,8.0,8.0,,0.0,,
neuralgia,1,0,0,0.459,0.459,0.459,8.0,8.0,,0.0,,
visual acuity,1,0,0,0.43,0.43,0.43,10.0,10.0,,0.0,,
stuttering,1,0,0,0.417,0.417,0.417,8.0,8.0,,0.0,,
binge eating,1,0,0,0.405,0.405,0.405,47.0,47.0,,0.0,,
itch,1,0,0,0.392,0.392,0.392,4.0,4.0,,0.0,,
shivering,1,0,0,0.39,0.39,0.39,32.0,32.0,,0.0,,
pleural effusion,1,0,0,0.378,0.378,0.378,10.0,10.0,,0.0,,
lymphedema,1,0,0,0.376,0.376,0.376,4.0,4.0,,0.0,,
shyness,1,0,0,-0.36,-0.36,-0.36,49.0,49.0,,0.0,,
hematochezia,1,0,0,0.356,0.356,0.356,8.0,8.0,,0.0,,
"postural orthostatic
tachycardia syndrome",1,0,0,0.344,0.344,0.344,4.0,4.0,,0.0,,
chills,1,0,0,0.337,0.337,0.337,11.0,11.0,,0.0,,
hypermobility,1,0,0,0.336,0.336,0.336,12.0,12.0,,0.0,,
testicular pain,1,0,0,0.333,0.333,0.333,27.0,27.0,,0.0,,
self harm,2,0,0,0.005,0.329,0.005,26.5,26.5,0.458,0.0,-4.112,4.122
sleep deprivation,1,0,0,0.318,0.318,0.318,6.0,6.0,,0.0,,
pleurisy,1,0,0,0.308,0.308,0.308,2.0,2.0,,0.0,,
encephalitis,1,0,0,0.302,0.302,0.302,40.0,40.0,,0.0,,
weakness,1,0,0,0.3,0.3,0.3,14.0,14.0,,0.0,,
fibrocystic breast changes,1,0,0,0.353,0.353,0.353,10.0,10.0,,0.0,,
cataplexy,1,0,0,0.32,0.32,0.32,3.0,3.0,,0.0,,
gastroparesis,1,0,0,0.314,0.314,0.314,8.0,8.0,,0.0,,
balance disorder,1,0,0,-0.313,-0.313,-0.313,49.0,49.0,,0.0,,
anaphylaxis,1,0,0,0.335,0.335,0.335,0.0,0.0,,0.0,,
